מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
1-00000,,,BEM-VINDO  לסדנה פורטוגזית היחידה שמאפשרת לך להסתדר במדינות דוברות פורטוגזית אחרי 8 שיעורים בלבד
1-00001,,,"בהגדרות של ""מי מתאים לקורס הזה"", אחד התנאים היה ידיעת האנגלית/צרפתית (בדגש על אנגלית) ברמה תיכונית, לפחות."
1-00010,,,ונתחיל במה שאנחנו יודעים...
1-00011,,,"במשפטים הבאים רואים את הסיבה לכך שהתעקשתי שאתם תשלטו באנגלית – יש הרבה מילים בפורטוגזית הדומים למילים באנגלית, כמובן בהבדלי היגוי – עקבו אחרי המשפטים הבאים :"
1-00012,,,שימו לב – כמו בערבית (לא כמו באנגלית)   תואר השם מופיע אחרי השם !!!
1-00201,במילון האנגלי   שלכם,IN YOUR ENGLISH DICTIONARY,EN SEU VOCABULARIO INGLÉS
1-00302,"ע""מ להתחיל",IN ORDER TO COMMENCE,PARA COMENÇAR
1-00400,באופן מיידי,IMMEDIATELY,IMEDIATAMENTE
1-00501,להעביר את המילון האנגלי שלו,TRANSFORM HIS ENGLISH VOCABULARY,TRANSFORMAR O SEU VOCABULÁRIO INGLÉS
1-00601,במיחוד,ESPECIALY,ESPECIALMENTE
1-00701,אם לוקחים בחשבון,IF YOU   CONSIDER,SE VOCÊ CONSIDERA
1-00801,המוגבלות,THE LIMITACI O N,A LIMITAÇÃO
1-00901,של אוצר המילים הפעיל,OF THE ACTIVE VOCABULARY,DO VOCABULÁRIO ATIVO
1-01001,,,"בכל שפה, במה שנקרא ""אוצר מילים פעיל"" – יש רק 500 עד 1,500 מילים !! – בוא ונשאל אתכם אם אתם יודעים כמה מילים יש בעיתון NEW YORK TIMES של סוף השבוע, כן אותה חבילת נייר ענקית שצריך לסחוב אותה עם עגלה ....... לא אלאה אתכם – התשובה היא כ-600 מילים !!"
1-01002,,,"כלומר, אם ""תופסים את הפטנט"" (ויש כזה  לרוב המילים !!) אפשר לקבל, מבלי להתאמץ, כ-2000 מילים !!"
1-01004,המוגבלות של המילון הפעיל,LIMITATI O N  OF THE ACTIVE VOCABULARY,A LIMITAÇÃO DO VOCABULÁRIO ATIVO
1-01102,להפוך את אוצר המילים האנגלי  לפורטוגזית,TO TRANSFORM YOUR ENGLISH VOCABULARY TO PORTUGUESE   ,TRANSFORMAR O SEU VOCABULÁRIO INGLÊS PARA PORTUGUÊS
1-01103,,,אאפיין לכם 7 קבוצות של סיומות
